Geneid	/data/users/egraf/RNAseq/5_samtools_sort_2/HER21_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/HER22_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/HER23_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/NonTNBC3_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/Normal3_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC1_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC2_sorted.bam	/data/users/egraf/RNAseq/5_samtools_sort_2/TNBC3_sorted.bam
ENSG00000142611	14	3	52	16	32	37	9	100	46	25	8	19
ENSG00000284616	0	0	0	0	1	1	0	0	0	0	0	3
ENSG00000157911	45	97	95	386	216	153	141	197	143	58	130	91
ENSG00000260972	0	0	0	0	4	3	0	0	0	7	2	3
ENSG00000224340	2	2	0	1	2	7	0	0	1	6	1	0
ENSG00000229280	0	0	0	1	0	0	0	0	0	1	0	3
ENSG00000142655	63	100	64	122	106	73	145	559	574	69	67	51
ENSG00000232596	0	1	0	3	6	3	1	0	0	12	4	6
ENSG00000231510	0	0	0	0	3	2	0	0	0	3	1	0
ENSG00000149527	61	13	93	102	30	31	119	254	284	37	47	40
ENSG00000171621	109	424	179	338	263	277	1193	3456	6932	253	648	414
ENSG00000272235	7	0	7	5	7	11	4	6	4	14	6	4
ENSG00000284694	0	0	2	4	5	8	0	0	0	19	10	9
ENSG00000224387	2	0	0	0	1	2	1	1	0	1	2	2
ENSG00000142583	64	90	71	141	22	29	19	60	37	44	60	156
ENSG00000284674	0	0	0	6	6	3	0	0	0	9	8	8
ENSG00000224338	0	0	0	3	2	0	0	0	0	1	0	0
ENSG00000287727	29	31	19	17	14	13	3	11	1	25	5	16
ENSG00000173614	63	54	88	288	142	179	66	96	119	137	112	149
ENSG00000215720	5	13	8	3	3	3	2	0	1	4	2	3
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	4	4	0	1	10	5	0	1	0	13	3	4
ENSG00000204624	5	1	12	31	31	25	0	12	5	30	14	17
ENSG00000142606	4	2	15	25	22	19	9	17	19	6	2	24
ENSG00000225931	2	0	1	4	0	6	2	5	9	8	3	3
ENSG00000171729	112	71	121	280	93	93	413	866	1211	108	136	217
ENSG00000229393	3	1	2	2	0	2	0	1	3	1	0	0
ENSG00000287586	4	2	0	3	6	4	1	0	1	4	1	5
ENSG00000227169	0	0	0	3	3	1	0	0	0	1	4	0
ENSG00000283356	0	0	1	0	1	0	0	0	0	3	2	2
ENSG00000157916	480	652	696	2570	941	801	593	1041	945	469	787	649
ENSG00000157881	106	104	161	420	265	227	105	448	289	115	157	145
ENSG00000225387	0	0	0	0	0	0	0	1	0	4	0	0
ENSG00000048707	2894	4557	4720	4755	2319	2283	629	1835	2061	1965	1695	1813
ENSG00000225196	0	0	1	1	1	0	1	1	0	3	0	1
ENSG00000162444	20	4	8	176	101	49	279	477	802	56	12	42
ENSG00000279625	0	0	0	0	4	1	0	0	0	9	5	0
ENSG00000180758	224	258	264	522	457	357	170	495	637	156	136	123
ENSG00000184677	522	684	553	603	482	400	253	666	963	413	286	362
ENSG00000285833	0	0	0	0	4	0	0	0	0	0	1	0
ENSG00000131697	156	308	180	247	316	188	159	514	383	174	146	101
ENSG00000280222	7	4	7	17	13	10	2	1	0	21	14	6
ENSG00000285945	0	0	0	0	0	1	0	1	1	2	0	0
ENSG00000197921	0	0	1	8	1	3	21	10	10	1	3	0
ENSG00000284666	0	0	0	2	3	4	0	0	0	3	2	1
ENSG00000228943	0	0	0	0	0	0	0	0	0	1	1	0
ENSG00000234397	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000204138	331	323	260	446	361	405	583	2499	2901	380	256	225
ENSG00000233419	0	0	0	3	3	3	0	0	0	2	1	4
ENSG00000225011	0	0	0	1	0	1	0	0	0	5	3	0
ENSG00000284676	1	0	0	5	5	5	0	0	1	13	7	5
ENSG00000090020	229	124	274	300	195	230	1253	2990	7014	163	165	74
ENSG00000158006	181	116	194	661	393	428	165	304	351	122	176	187
ENSG00000214812	0	0	0	0	2	4	0	0	1	0	2	2
ENSG00000196581	7	17	12	38	18	30	13	121	290	41	26	27
ENSG00000169403	253	105	355	604	132	144	77	123	203	343	171	309
ENSG00000171612	106	256	160	157	107	80	505	1072	643	153	79	136
ENSG00000270927	0	0	0	0	0	0	0	0	0	3	0	1
ENSG00000188910	3	76	4	4	1	6	32	181	179	23	18	61
ENSG00000230523	1	0	3	4	5	7	0	2	2	10	0	4
ENSG00000158161	388	585	382	1112	454	452	370	641	1227	385	370	357
ENSG00000233234	1	0	0	1	0	1	0	0	0	2	0	1
